Date, Event Key, Event

Ø'@, [101], Job created with PID 4735 and priority 4
2017-01-10 20:03:18, [101], Job created with PID 9447 and priority 2
2017-01-10 20:03:21, [101], Job created with PID 9449 and priority 3
2017-01-10 20:03:22, [101], Job created with PID 9450 and priority 8
2017-01-10 20:03:23, [101], Job created with PID 9452 and priority 1
2017-01-10 20:03:24, [101], Job created with PID 9453 and priority 10
è'@, [101], Job created with PID 9513 and priority 4
2017-01-10 20:03:43, [101], Job created with PID 9514 and priority 7
2017-01-10 20:03:44, [101], Job created with PID 9517 and priority 8
2017-01-10 20:03:45, [101], Job created with PID 9518 and priority 6
2017-01-10 20:03:46, [101], Job created with PID 9519 and priority 4
2017-01-10 20:03:49, [101], Job created with PID 9521 and priority 6
2017-01-10 20:03:50, [101], Job created with PID 9522 and priority 7
2017-01-10 20:03:51, [101], Job created with PID 9524 and priority 3
2017-01-10 20:03:52, [101], Job created with PID 9525 and priority 10
2017-01-10 20:03:53, [101], Job created with PID 9526 and priority 2
2017-01-10 20:03:56, [101], Job created with PID 9529 and priority 3
2017-01-10 20:03:57, [101], Job created with PID 9530 and priority 8
2017-01-10 20:03:58, [101], Job created with PID 9532 and priority 1
2017-01-10 20:03:59, [101], Job created with PID 9533 and priority 10
2017-01-10 20:04:00, [101], Job created with PID 9534 and priority 4
2017-01-10 20:04:03, [101], Job created with PID 9536 and priority 7
2017-01-10 20:04:04, [101], Job created with PID 9537 and priority 1
2017-01-10 20:04:05, [101], Job created with PID 9539 and priority 7
2017-01-10 20:04:06, [101], Job created with PID 9550 and priority 3
2017-01-10 20:04:07, [101], Job created with PID 9551 and priority 7
2017-01-10 20:04:10, [102], Job destroyed with PID 9525 and priority 10
2017-01-10 20:04:10, [102], Job destroyed with PID 9533 and priority 10
2017-01-10 20:04:10, [102], Job destroyed with PID 9517 and priority 8
2017-01-10 20:04:10, [102], Job destroyed with PID 9530 and priority 8
2017-01-10 20:04:10, [102], Job destroyed with PID 9514 and priority 7
